1, 5, 2, 5, 10, 1, 9
1, 5, 2, 5, 12, 6, 12
1, 5, 2, 10, 1, 9, 6
1, 5, 2, 10, 2, 9, 6
1, 5, 10, 2, 9, 1, 6
1, 5, 10, 2, 10, 1, 6
1, 5, 10, 8, 3, 6, 9
1, 5, 10, 8, 4, 6, 9
1, 6, 1, 5, 10, 2, 9
1, 6, 1, 5, 10, 2, 10
1, 6, 1, 11, 2, 11, 5
1, 6, 2, 5, 10, 2, 9
1, 6, 2, 5, 11, 6, 12
1, 6, 2, 10, 2, 9, 6
1, 6, 2, 11, 5, 11, 6
1, 6, 4, 5, 11, 2, 7
1, 6, 9, 2, 5, 3, 12
1, 6, 9, 2, 5, 3, 11
1, 6, 9, 5, 10, 2, 5
1, 6, 9, 8, 2, 11, 7
1, 6, 10, 2, 11, 7, 9
1, 6, 10, 8, 2, 11, 7
1, 6, 11, 5, 10, 8, 9
1, 7, 2, 10, 5, 4, 6
1, 9, 1, 5, 2, 5, 10
1, 9, 1, 6, 2, 5, 10
1, 9, 1, 10, 5, 10, 6
1, 9, 2, 5, 10, 5, 9
1, 9, 2, 5, 10, 6, 9
1, 9, 2, 10, 5, 9, 6
1, 9, 2, 10, 5, 10, 6
1, 9, 4, 7, 2, 10, 5
1, 9, 4, 8, 2, 10, 5
1, 9, 4, 10, 5, 2, 12
1, 9, 5, 2, 10, 7, 12
1, 9, 5, 2, 10, 8, 12
1, 9, 5, 10, 5, 1, 6
1, 9, 5, 10, 5, 2, 6
1, 9, 6, 2, 5, 2, 10
1, 9, 6, 2, 5, 2, 9
1, 9, 6, 4, 10, 5, 11
1, 9, 6, 9, 5, 2, 5
1, 9, 6, 10, 5, 2, 5
1, 9, 6, 10, 5, 2, 6
1, 10, 2, 8, 2, 7, 9
1, 10, 2, 10, 5, 9, 6
1, 10, 5, 2, 11, 4, 6
1, 10, 8, 2, 8, 1, 9
2, 5, 1, 6, 9, 6, 10
2, 5, 1, 6, 12, 2, 11
2, 5, 1, 9, 6, 9, 5
2, 5, 1, 9, 6, 10, 5
2, 5, 2, 10, 1, 9, 6
2, 5, 3, 11, 1, 6, 9
2, 5, 9, 1, 6, 11, 8
2, 5, 9, 1, 6, 12, 8
